app,teks,rating,sentimen
id.dana,sangat sangattt membantu pisann pokonamah dana is the best 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,5,Positif
id.dana,sangat baik untuk transaksi,5,Positif
id.dana,dana jelek di persulit mau ganti kartu harus nya kalo dah lapor bisa di pahami ini tidak jelek bangat gk mao lagi pake🤬,1,Negatif
id.dana,"kenapa dana cicil belum tersedia terus, padahal dana pengeluaran sudah 3 juta lebih",5,Positif
id.dana,"GAGAL TRANSFER SUDAH CHAT APLIKASI DANA VIA CHAT DIANA, MALAH DIPAKSA MENJAWAB ISI SALDO APA, PADAHAL MASALAHNYA TRANSFER KELUAR, SUDAH DIJELASKAN DAN DIULANG-ULANG TETAPI CHATBOT HANYA TANYA ISI SALDO APA. PERCUMA TIDAK ADA SOLUSI. CHATBOT MENJAWAB TIDAK SESUAI PERTANYAAN DAN TIDAK SESUAI KONTEKS YANG DITANYAKAN TIDAK ADA SOLUSI",1,Negatif
id.dana,sangat bermanfaat,5,Positif
id.dana,sangat bermanfaat terima kasih,5,Positif
id.dana,puas pake aplikasi dana,5,Positif
id.dana,bgus,5,Positif
id.dana,nice and useful,5,Positif
id.dana,bagus,4,Positif
id.dana,👍,5,Positif
id.dana,Bagus simpel juga,5,Positif
id.dana,Saya tidak ada dapat dana cicil di sini saya tidak pernah mendapatkan Saya pengen juga mendapat dana cicil,5,Positif
id.dana,"Saya ingin akun dana saya di berikan limit dana cicil kembali, saya memang terlambat dalam membayar tagihan namun ini sangat memberatkan bagi saya setelah limit dana cicil saya sudah tidak dapat digunakan saya ingin PT ESPAY INDONESIA melakukan pengecekan ulang terhadap akun saya nama:Muh Haykal Fath terimakasih sebelum nya.",2,Negatif
id.dana,kenapa dana cicil saya tidak bisa di pakai .... Padahal sebelumnya bisa di pakai ? Tagihan juga udah di bayar malah gak bisa di gunakan ??,5,Positif
id.dana,sangat memuaskan,5,Positif
id.dana,bagus,5,Positif
id.dana,kok saya ngak bisa melakukan transaksi seperti isi pulsa bayar token listrik ya,1,Negatif
id.dana,ok,5,Positif
id.dana,Bagus,5,Positif
id.dana,bagus gampang banget digunakan cuma kadang aga ngeleg dikit tapi keren sih aplikasi ini soalnya tampilan nya itu mudah dimengerti,5,Positif
id.dana,gamau di buka eror apa gmna ya,1,Negatif
id.dana,Terimakasih atas karya nya,5,Positif
id.dana,pelayanan dana sangat buruk sekali. 1. menyelesaikan masalah tidak cepat terlalu bertele-tele 2. respond CS dana sangat selow respond 3. sangat buruk,2,Negatif
id.dana,bgus,1,Negatif
id.dana,mantap,5,Positif
id.dana,Public,5,Positif
id.dana,dana cicil,5,Positif
id.dana,oke.. 👍👍👍,5,Positif
id.dana,dana cicil,4,Positif
id.dana,semoga dana cicil saya bisa digunakan min🙏,5,Positif
id.dana,"aplikasi ini tidak aman menyimpan duit, saldo bisa dicuri oleh seseorang tanpa verivikasi muka saya kehilangan saldo diaplikasi ini",1,Negatif
id.dana,tolong di perbaiki knpa tidak bisa login susah banget harus pakai kode otp biasa nya tiap saya login beda hp juga langsung masuk kok sekarang malah makin ribet udh masukan sandi udh poto selpi tetep aja di minta kode aneh sudah gunakan verifikasi wajah berkali kali tetep aja harus pakai kode otp biasa jelas dana sekarang,1,Negatif
id.dana,sangat memudahkan pengguna dan responsif sekali mantaps sekali pakai dana bebas admin 10kali lagi,5,Positif
id.dana,"mudah digunakan, tapi pinjamannya gak ada",5,Positif
id.dana,apalh bayar sendiri pdahal GK pernah minta bayar bngun tidur hilng duit bayar ini,1,Negatif
id.dana,verifikasi wajah gagal terus padahal menggunakan muka saya tapi tidak bisa saran saya di perbaiki lagi,1,Negatif
id.dana,"mudah d gunakan,semoga aman nyimpan transaksi d dana",5,Positif
id.dana,mantap,5,Positif
id.dana,sukses selalu,5,Positif
id.dana,g bs aktifkan 2 dana dng 1 KTP,1,Negatif
id.dana,dana cicil,5,Positif
id.dana,mantap,5,Positif
id.dana,𝚖𝚎𝚖𝚋𝚊𝚗𝚝𝚞,5,Positif
id.dana,dulu bisa login verifikasi nya melalui email sekarang kok GK bisa kan udah di jelasin no hp nya hilang,2,Negatif
id.dana,mantap,5,Positif
id.dana,mantuuulll ...,5,Positif
id.dana,"Makin lama makin tolol ni aplikasi, masa duit gua tibatiba ilang sendiri, padahal gua ga transaksi apa2 tiba2 ada tulisan transaksi MAKIN LAMA MAKIN GAJELAS",1,Negatif
id.dana,"tolong dong fitur emas nya di perbaiki, masa ga ada koneksi terus kalau mau buka",3,Netral
id.dana,belajar,5,Positif
id.dana,aku mau saldo,5,Positif
id.dana,ok,5,Positif
id.dana,sangat bagus,5,Positif
id.dana,dana end the best,5,Positif
id.dana,aplikasi setelah diperbaharui malah sering error dan loading terus,1,Negatif
id.dana,Aku Kasih Rating 5 Ya Kk,5,Positif
id.dana,sangat ok,5,Positif
id.dana,keren👍👍👍👍,5,Positif
id.dana,mudah di gunakan transfer ke semua bank mau pun walet,5,Positif
id.dana,akun saya kenapa di bekukan saya udah laporkan tunggu 3 hari sekarang udah 1 minggu lebih belum juga bisa kirim uang atau pun top up,1,Negatif
id.dana,pernah mengganti nomor telfon giliran mau klaim nomor yg baru malah tidak bisa sama sekali ...selamat tinggal dana uninstal,1,Negatif
id.dana,baik,5,Positif
id.dana,sangat bagus dan praktis,5,Positif
id.dana,really like it,5,Positif
id.dana,mantap,5,Positif
id.dana,makin jelek ah top up sama kirim d kenain biaya admn terud,1,Negatif
id.dana,apk jelek qris sja nda bisa sering keluar keluar sendiri,1,Negatif
id.dana,ok,5,Positif
id.dana,sangat tidak puas karna dana cicil saya ga di aktif kan fiturnya,1,Negatif
id.dana,ok,5,Positif
id.dana,praktis,5,Positif
id.dana,Dana + Chrome = Luput,5,Positif
id.dana,sangat bagus,5,Positif
id.dana,susah,1,Negatif
id.dana,sangat membantu,5,Positif
id.dana,sehhhh udah 3 hari kgk ada kabar pulsa gw gmana nih,1,Negatif
id.dana,kenapa saldo dana terpotong 16rbu setiap pengisian di dana,2,Negatif
id.dana,Aplikasi Dana tidak bisa Pengajuan pinjaman uang ?,1,Negatif
id.dana,pokoe oke,5,Positif
id.dana,saya ingin fitur dana cicil saya di aktifkan,5,Positif
id.dana,bgus bngt,5,Positif
id.dana,top up tidak masuk 3 kali gimana ini min,1,Negatif
id.dana,pokok nya jdi lebih mudah,4,Positif
id.dana,sangat puas,5,Positif
id.dana,sangat baik,5,Positif
id.dana,saya sanggat paus mengunakan alpikasi Dana tidak rebet aman Dan cepat 👍🙏,5,Positif
id.dana,saya kasi bintang 5 krna dana cicil gak bisa di gunakan . mohon bantuan nya agar bisa di gunakan ..,5,Positif
id.dana,buruk sangat mengecewakan,1,Negatif
id.dana,"tolong jelaskan kenapa yang lain ada fitur dana cicil sedang punya saya gada fitur dana cicil, sudah di upgrad juga tetep aja ga ada fitur nya sama sekali padahal saya sudah lama menggunakan dana.",3,Netral
id.dana,sangat baik dan nyaman 😊,5,Positif
id.dana,aplikasi ini kenapa uang di dana jadi tidak ada lagi.tolong pertanggung jawab nya uang saya di dana.aplikasi dana kenapa eror buka aplikasi dana tiba tiba kembali lagi dari awal,1,Negatif
id.dana,👍,5,Positif
id.dana,gw ngirim selalu GK bisa,4,Positif
id.dana,"saya heran sama aplikasi ini? kalo ngk ada saldonya bisah masuk cuma pake pin,tpi kalo ada saldonya diminta pin verivi wajah dan otp! harusnya kan tau biasah login pake perangkat apa lokasi nya dimana",2,Negatif
id.dana,bagus,5,Positif
id.dana,sangat membantu 👍,5,Positif
id.dana,sangat membantu,5,Positif
id.dana,sangat membantu,5,Positif
id.dana,knp d akun saya tidak ada spaylater & dana cicil nya,5,Positif
id.dana,aplikasi dana memuaskan nasabah,4,Positif
id.dana,aplikasi selalu berhenti sendiri,4,Positif
id.dana,sering bertransaksi setiap harinya tapi tidak pernah dapat fitur DANA CICIL ataupun DANA DARURAT,2,Negatif
id.dana,saya sudah makai bertahun tahun tapi tak ada dana cicil,3,Netral
id.dana,lumayan 👌,4,Positif
id.dana,bagusss tp sayang dana cicil blm ada,5,Positif
id.dana,sangat melayani,1,Negatif
id.dana,terimakasih,5,Positif
id.dana,mantap,5,Positif
id.dana,sangat bagus,5,Positif
id.dana,"sengaja kasih bintang lima biar berada diposisi atas TopUP Berizzi Sampai sekarang belum juga masuk saldonya. Topup dari tgl 10 Februari 2026 sampai sekarang 19 Februari 2026 sudah lebih dari 5 hari Gua sampai ngisi lagi, isi Pertama 50rb belum juga masuk!! Hati-hati bagi kalian yang mau topup Emany!!!!!!! udh ga bakal balik lagi duitnya!!",5,Positif
id.dana,sangatt membantuu 🙏🏻🥰,5,Positif
id.dana,"Terbail Dana, mudah dan nyaman",5,Positif
id.dana,Bgus TPI ko ilang,5,Positif
id.dana,sangat bagus,5,Positif
id.dana,aktif kan dana instan,5,Positif
id.dana,sangat bagus dan terpercaya,5,Positif
id.dana,"kenapa akhir-akhir ini mau bayar tagihan pake dana aga susah ya, selalu yang muncul tagihan tidak di temukan, padahal udah jelas VA nya, apakah koneksi nya atau transaksi nya hanya di jam siang aja, padahal akun nya udah premium, tolong bantuan nya biar lebih mudah ber transaksi",3,Netral
id.dana,terpercaya cepat,5,Positif
id.dana,asli uang gua di dana tiba tiba ilang asil kaga jelas jasa,1,Negatif
id.dana,"knp dana cicil saya gak bisa di gunakan,,",1,Negatif
id.dana,trimakasi sya berharap akun dana saya ada fitur danacicil,5,Positif
id.dana,sangat puas,5,Positif
id.dana,bagus,5,Positif
id.dana,dana cicil tidak bisa saya gunakan,1,Negatif
id.dana,dana cicil,5,Positif
id.dana,sangat baik,5,Positif
id.dana,fitur dana cicil gak ada tolong di perbaiki punya saya,4,Positif
id.dana,tolong bantu kelurkan dana cicil,5,Positif
id.dana,muantap,5,Positif
id.dana,oke,5,Positif
id.dana,bagus,5,Positif
id.dana,cukup capek tunggu dana cicil,5,Positif
id.dana,oke,5,Positif
id.dana,good,5,Positif
id.dana,bagus,5,Positif
id.dana,fitur dana cicil,1,Negatif
id.dana,sangan membantu terima kasih dana,5,Positif
id.dana,makyosssss,5,Positif
id.dana,"@ris bisnis dana tidak masuk masuk sudah 24 lebih buat kalian, sebelum nyesal jgn di pake lagi dana ini,, hapus aja ganti ke Gopay",1,Negatif
id.dana,"bagaimana cara mengaktifkan kembali akun dana yang sudah dibekukan. saya sudah minta bantuan chat Diana, inbok Facebook sampai di email belum ada solusi yang membantu",2,Negatif
id.dana,Sangat bagus,4,Positif
id.dana,sangat bagus,4,Positif
id.dana,dana cicil,5,Positif
id.dana,sangat menarik,5,Positif
id.dana,terbaik👍💯,5,Positif
id.dana,dana saya tidak ada dana cicil ya padahal yang lain ada dana cicil....,3,Netral
id.dana,oke,4,Positif
id.dana,"tolonglah min kalo verifikasi muka itu di permudah, ini jelas jelas pencahayaan udh terang muka udah dibingkai kenapa sih susah bener? tolong di perbaiki, yang kayak gini mau bersaing sama apk sebelah? KETINGGALAN JAUH",1,Negatif
id.dana,kenapa di Saya tidak muncul versi beta untuk mengaktifkan dana Paylater,2,Negatif
id.dana,sanget bagus,5,Positif
id.dana,dasuki Uki,1,Negatif
id.dana,"apalah ini, abis update saldo ilang gajelas, ga bisa beli Kouta anj",1,Negatif
id.dana,sangat membantu apk ny,4,Positif
id.dana,oke,5,Positif
id.dana,👍👍👍,5,Positif
id.dana,PIHAK CS KERJA NYA LAMA MINTA REFUND DANA NUNGGU 48 JAM KERJA NYA LAMA GAK BECUS KASI RATING RENDAH AJA SOAL NYA CS GAK KERJA UDAH MINTA BANTUAN DIANA GAK ADA TINDAKAN REFUND,1,Negatif
id.dana,mohon maaf kenapa dana saya di tangguhkan saya tidak melakukan transaksi terlarang,1,Negatif
id.dana,aplikasi dana sering nge bug loadingnya lama padahal sinyal bagusss tolong di benahi,1,Negatif
id.dana,Mntap,5,Positif
id.dana,salah kirim saldo atw,2,Negatif
id.dana,bagus,5,Positif
id.dana,ok,5,Positif
id.dana,sungguh luar biasa,5,Positif
id.dana,dana dompet simpel dan mudah.,2,Negatif
id.dana,terimakasih dana sangat membantu,5,Positif
id.dana,sangat bagus,4,Positif
id.dana,"bagaimana ini habis nyicil gak bisa di pake lagi , padahal sebelum jatuh tempo sudah lunas semua , gimana si Dana makin jelek aja",3,Netral
id.dana,bgus,1,Negatif
id.dana,"dana babi pilih"" ngasih dana cicil 🐶",4,Positif
id.dana,Bagus Untuk Dompet Digital,5,Positif
id.dana,aku kasih 1 bintang soalnya akun udah premium tapi kok banyak fitur yang tidak ada terutama fitur dana cicil 🥲,1,Negatif
id.dana,kasih bintang 3 dulu .. sayang nya Premeum udah hampir 5 tahun pakai . tapi tidak ada muncul pitur( dana cicil ) nya .,3,Netral
id.dana,bagus aplikasi ini,5,Positif
id.dana,kenapa ya fitur dana cicil sudah ada...namun belum bisa di aktifasi....kira2 beraha hari lagi bisa di aktifasi nya. terimakasih,5,Positif
id.dana,"tolong ya, semakin kesini malah makin ngga jelas. force close terus tiap buka aplikasi maupun pas lagi bayar transaksi. kalo misalnya saldo kepotong setelah masukin pin + force close gimana? emang pihak dana mau tanggung jawab? gak usah iklan terus ditaro di beranda. bikin berat aja. efisien? ngga sama sekali, malah mempersulit.",1,Negatif
id.dana,mantap,5,Positif
id.dana,oke oke,5,Positif
id.dana,dana cicil.,5,Positif
id.dana,sempurna,5,Positif
id.dana,mantap,5,Positif
id.dana,bagus,5,Positif
id.dana,oke,5,Positif
id.dana,puas,5,Positif
id.dana,sangat membantu,5,Positif
id.dana,kenapa sya tidak dapat gunakan dana instan.dan dana cicilan untuk pulsa.tolong di cek lagi,1,Negatif
id.dana,Gacor,5,Positif
id.dana,oke,5,Positif
id.dana,sangat Bermanfaat,5,Positif
id.dana,Sangat memuaskan,5,Positif
id.dana,mantap,5,Positif
id.dana,"kenapa saya mengirim uang ke e-wallet lain, uang terpotong di dana tapi tidak masuk ke e-wallet lain uangnya... kecewa saya",1,Negatif
id.dana,kok dana saya gak ada dana cicil,5,Positif
id.dana,aplikasi sangat mendukung,5,Positif
id.dana,sangat bgs,5,Positif
id.dana,Bagus,5,Positif
id.dana,min kenapa gabisa pake dana cicil lagi padhal sudah tidak ada tagihan sudah lunas tlong perbaiki lagi,1,Negatif
id.dana,Ok,5,Positif
id.dana,nga taeh,5,Positif
id.dana,dana instan,5,Positif
id.dana,bagus,5,Positif
id.dana,ok,5,Positif
id.dana,sangat aman dan terpercaya,5,Positif
id.dana,puas dan praktis,5,Positif
id.dana,sgat baik,5,Positif
id.dana,ok bosss,5,Positif
id.dana,pindah akun di tunggu 5 bulan ga bisa bisa bagai mana ini tidak ada update kah.,1,Negatif
id.dana,sangat bagus,5,Positif
id.dana,sayangnya fitur dana cicil tidak muncul,5,Positif
id.dana,good,5,Positif
id.dana,agalemot dikit,5,Positif
id.dana,"nomor layanan pelanggannya mana, jangan cuma ninggalin bot yg g bisa kasih solusi g guna, jawaban muter muter, ujung ujungnya kerugian bagi pelanggan",1,Negatif
id.dana,mantap 👍,5,Positif
id.dana,baik,5,Positif
id.dana,mantab,5,Positif
id.dana,josjis,5,Positif
id.dana,sangat bagus,5,Positif
id.dana,mantap,5,Positif
id.dana,kerenn,5,Positif
id.dana,Yayayah,5,Positif
id.dana,kog punya ku gak keluar dana cicil ya,5,Positif
id.dana,sangat bagus,5,Positif
id.dana,dana kami tidak ada fitur dana cicil dan fitir dana onstan,5,Positif
id.dana,oke baik,5,Positif
id.dana,emang sesuwae,5,Positif
id.dana,sangat membantu,5,Positif
id.dana,dana cicil kenapa gagal terus aktivasi? masih gagal tolong bantu,1,Negatif
id.dana,kenapa setelah di update aplikasinya login langsung masuk sebelum nya ku atur masuk pake kode pin atau deteksi wajah.. sekarang kenapa gak pake deteksi wajah kok tiba tiba langsung masuk????,5,Positif
id.dana,sangat bagus,5,Positif
id.dana,bagus,4,Positif
id.dana,knp dana instan di akun saya tidak muncul...tolong di aktifkan,5,Positif
id.dana,sangat berguna sekali,5,Positif
id.dana,DNA makin sini makin banyak eror nya masa riwayat transaksi sering kali gabisa di lihat tranfer ke siapa trus fitur isi saldo pelanggan juga eror kadang gak bis di buka kocak,1,Negatif
id.dana,👍👍👍👍,4,Positif
id.dana,suka sekali..e wallet terbaik,5,Positif
id.dana,tolong kaka di benarrin dana nya soal nya saya ngak bisa masuk ke akun dana saya,5,Positif
id.dana,ok,5,Positif
id.dana,ok,5,Positif
id.dana,dana semakin bagus,5,Positif
id.dana,"melakukan transaksi tapi gagal, aneh nya saldo tidak kembali. gimana cara atasi nya. katanya 1x24 saldo akan kembali lagi, nyatanya zonk. terlalu banyak promosi dan minus penangan terhadap kendala nya. hilang 5 detik yang lalu dan tidak kembali entah sampai kapan. mungkin kiamat baru kembali saldo nya",1,Negatif
id.dana,semua transaksi jadi mudah pakai DANA....terimakasih DANA,5,Positif
id.dana,tidak muncul dana cicil,4,Positif
id.dana,saya ksih bintang 3 dulu soalnya saya ada hutang pulsa di aplikasi DANA potongan ny sebulan sekali..tibah saya mengisih DANA uang sudah di kenak kan potong,3,Netral
id.dana,tiba2 ga bisa scan barode,1,Negatif
id.dana,pokonya the best,5,Positif
id.dana,sangat menguntungkan,5,Positif
id.dana,sangat membantu,5,Positif
id.dana,"Di instal pas di buka malah keluar sendiri , woy sehat ???",1,Negatif
id.dana,Sangat berguna sekali,5,Positif
id.dana,dana mang oke,5,Positif
id.dana,dana cicil nya Uda muncul dan aktifitasnya selalu GK bisa di pake Krn belum saatnya tapi aku rajin bertransaksi dan ngirim ntah kenapa belum dibukakan. padahal Uda lama sekali malahan tiap hari brtranksaksi.. mohon dikasi peluang untuk membuka dana cicil. biar bisa terpakai juga kasian kami peminat dana cicil Krn sngat membantu sekali,5,Positif
id.dana,mantap,5,Positif
id.dana,Mantap,5,Positif
id.dana,"pliss nomer cs yg bisa di telpon, urgent",1,Negatif
id.dana,saya harap sebagai pengguna dana dapat menikmati fitur dana cicil karena saya sudah memakai dana 5 bulan,5,Positif
id.dana,penipu,1,Negatif
id.dana,anjay,5,Positif
id.dana,bagus,5,Positif
id.dana,makin ribet,1,Negatif
id.dana,"saya memiliki akun nomor yang sudah tidak aktif, sehingga saya susah untuk menerima kode otp, saya berharap ada verifikasi muka untuk masalah ini",1,Negatif
id.dana,good,5,Positif
id.dana,baik smua,5,Positif
id.dana,"sangat bagus.tpi knp skrg"" ini susah untuk masuk",5,Positif
id.dana,Buat yg belum pakai Dana pakailah Dana sesering mungkin biar bisa dipakai dan muncul dana paylater nya ....Terima kasih Dana dan team dana semoga selalu sukses dan lancar nasabahmunbayar cicilannya🙏🙏🙏,5,Positif
id.dana,good app,5,Positif
id.dana,bagus banget,5,Positif
id.dana,mantap,5,Positif
id.dana,kenapa dana saya ngga ada notifikasi dana cicil😣,4,Positif
id.dana,"maaf min baru login tiba"" ada cicilan kenapa ya beri penjelasannya",1,Negatif
id.dana,mantap,5,Positif
id.dana,Tapi cara untuk dana cicil nya belum paham,5,Positif
id.dana,"knpa ini danan pending nya lama, saya transaksi ke gopay malah pending lama gimna ini danan",2,Negatif
id.dana,saya suka pake dana moga berkah amin🙏😇,3,Netral
id.dana,tolong dong diperbaiki bugnya. masa laporan keuangan saya kehapus hanya gara² diperbarui ke dana versi ramadhan? kalo kek gini kita sebagai mitra yang dirugikan,3,Netral
id.dana,"mending uninstal massal aja ni apk ga propesional , org yg banyak hutang malah aktif fitur dana cicil gua yg tidak punya hutang malah ga ada fitur dana cicil . 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎",1,Negatif
id.dana,keren,5,Positif
id.dana,entah kenapa gua kecewa banget pakai ini aplikasi. aku masih ada saldo didalam aplikasi ini eh tiba tiba tidak bisa di buka dan akun gua keriset sendiri,2,Negatif
id.dana,"itu dana goals saya tidak dapat di tarik karna harus scan wajah, sedangkan saya pake ktp orang tua, kebetulan ortu saya sudah meninggal. kenapa harus scan wajah dulu, dana goals dulu pake pin kok narik nya sekarang jadi ribet dana",1,Negatif
id.dana,aku kasih bintang 2 dulu soalnya dana cicil nya ga bisa muncul,2,Negatif
id.dana,bagus,5,Positif
id.dana,sangat sempurna,5,Positif
id.dana,sempuna,5,Positif
id.dana,tolong saya dengan cicilan,5,Positif
id.dana,apk ini sangat jelek karena saya belum mencobanya,1,Negatif
id.dana,"makin sini makin gk beres dana,aplikasi gk bisa k buka seklinya kebuka gk bisa kirim uang,kembali trus kacau,coba d perbaiki klau masih mau d percaya, kirain hp sy yg lemot trnyata emng apliksi nya eror,liat ulasan kluhan nya sama tp gk ada tnggapan",1,Negatif
id.dana,sangat bagus sy suka sekli,5,Positif
id.dana,mantap 🫡,5,Positif
id.dana,jos jis,5,Positif
id.dana,kenapa susah sekali di gunakan mau membayar harus pake jaringan yang bagus,4,Positif
id.dana,saya suka cuma saya mohon bantuan nya untuk aktifasi dana cicil,4,Positif
id.dana,saldo gua ilang 300 kga ada yang ngebantu cat Diana malah gak nyambung tolong lah kembalikan min,2,Negatif
id.dana,ok,5,Positif
id.dana,bagus,5,Positif
id.dana,sangat bagus,5,Positif
id.dana,aplikasi ribet tak berguna,1,Negatif
id.dana,ok,5,Positif
id.dana,baik,5,Positif
id.dana,mantapnya,5,Positif
id.dana,bagus sekali topp,5,Positif
id.dana,"sangat membantu,.. terimakasih",5,Positif
id.dana,mantap,5,Positif
id.dana,bgus,5,Positif
id.dana,tapi sayang fitur dana cicil nya tidak keluar,5,Positif
id.dana,error mulu,1,Negatif
id.dana,ok,5,Positif
id.dana,sangat puas,5,Positif
id.dana,oke,5,Positif
id.dana,sangat membantu,5,Positif
id.dana,lebih mudah dan fitur y luarbiasa,5,Positif
id.dana,sangat membantu,5,Positif
id.dana,mantafff,5,Positif
id.dana,ok,4,Positif
id.dana,cukup baik,5,Positif
id.dana,kemarin hanya verifikasi wajah aja boleh. sekarang harus lengkap dengan nomor. jadi kalo hilang nomor nya. mau gimana lagi,5,Positif
id.dana,memudahkan,4,Positif
id.dana,"3 bintang dulu,sementara limit dana cicil TDK tersedia🙏🙏",3,Netral
id.dana,Proses masuk ke DANA tidak seringan dulu.. Tolong di kurangi fitur yang tïdak sering digunakan pada DANA. 🙏,5,Positif
id.dana,coba dulu kalau bagus gue tambah lagi bintang nya,3,Netral
id.dana,"keren, lancar jayass",5,Positif
id.dana,"Halooo tim developer Dana. Saya mau mengeluhkan bug notifikasi dana yang sepertinya error, ketika mendapat transferan notifnya seperti suara token yang bunyi, tidak seperti notif dana biasanya. Tolong segera di fix",5,Positif
id.dana,👍,5,Positif
id.dana,mantap,5,Positif
id.dana,sangat membantu,5,Positif
id.dana,"sangat membantu untuk transaksi,pengiriman/penarikan.",5,Positif
id.dana,saya kesulitan cari saldo nya 🥹,3,Netral
id.dana,saya mau nanya kenapa dana cicil saya tidak tersedia terus tolong di perbaiki terimakasih....,4,Positif
id.dana,fitur lupa PIN tidak berfungsi,1,Negatif
id.dana,ok,5,Positif
id.dana,sangat membantu,5,Positif
id.dana,sagat membantu,5,Positif
id.dana,terima kasih dgn adanya aplikasi ini sangat membantu saya mengirim uang dgn cepat,5,Positif
id.dana,kasih dana cicil bosku,5,Positif
id.dana,aplikasi mudah,5,Positif
id.dana,sangatlah bagus dan membantu,5,Positif
id.dana,Mantap Aplikasi nya,5,Positif
id.dana,aktivasi dana cicilku,5,Positif
id.dana,"kenapa fitur dana cicil saya tidak bisa digunakan, sedangkan fitur dana cicil saya sudah tersedia",4,Positif
id.dana,ok,5,Positif
id.dana,lebih lancar dan praktis GK pakek ngantri GK ada adminnya.mantap,5,Positif
id.dana,sangat membantu sekali,5,Positif
id.dana,bagus,5,Positif
id.dana,apk dana nya suka lag dan keseringan ngajak update,3,Netral
id.dana,Akun Setan,1,Negatif
id.dana,baik,5,Positif
id.dana,sangat baik,5,Positif
id.dana,mantap 👍,5,Positif
id.dana,bukan orang mampu,5,Positif
id.dana,sangat membantu,5,Positif
id.dana,good... mempermudah kirim uamg,5,Positif
id.dana,dana cicil gberfungsi,1,Negatif
id.dana,gimana cara.a agar bisa kbuka akun yg sudah hilang,1,Negatif
id.dana,atipin dana cicil oy,5,Positif
id.dana,bagus sekali,5,Positif
id.dana,puas....sangat bermanfaat....,4,Positif
id.dana,MANTAPPP,5,Positif
id.dana,kenapaa uangg tiba-tiba ilanggg,1,Negatif
id.dana,mantap,4,Positif
id.dana,apakah bisa membantu saya untuk login.. di karenakan email saya lupa..,2,Negatif
id.dana,waw bagus bngt,5,Positif
id.dana,sudh lunas dana cicil tapi limitnya di tutup..kurang asik..pdahal terlambatnya gk lama,4,Positif
id.dana,"respon nya kurang,dana saya bermasalah dalam login dichat cs nya malah tidak ada tanggapan",1,Negatif
id.dana,memudahkan transaksi E-Wallet DANA,5,Positif
id.dana,layanan bagus dan cepat,5,Positif
id.dana,dana cicilan,5,Positif
id.dana,halo DANA kenapa qris bisnis saya di non aktifkan.. aneh sekali,1,Negatif
id.dana,coba perbaiki suka loading,3,Netral
id.dana,sangat bermanfaat,5,Positif
id.dana,good,5,Positif
id.dana,sangat membantu,5,Positif
id.dana,bagus,5,Positif
id.dana,keres,5,Positif
id.dana,"customer service magang, gak bisa menyelesaikan kendala customer dan respon bot",1,Negatif
id.dana,ngk bisa d gunakan .,3,Netral
